ETC_20150317_000001	Kepa	케파
ETC_20150317_000354	High Vubbe Fighter	하이 부베 투사
ETC_20150317_000355	Monster Wizard	몬스터 위저드
ETC_20150317_000356	Battery (temporary)	포대(임시)
ETC_20150317_000357	Block of ice	얼음 덩어리
ETC_20150317_000358	Pillar of ice	얼음 기둥
ETC_20150317_000359	Bonfire	모닥불
ETC_20150317_000360	Mine	지뢰
ETC_20150317_000361	Pavise	파비스
ETC_20150317_000362	Subzero Shield	서브제로쉴드
ETC_20150317_000363	Dice	주사위
ETC_20150317_000364	Catapult	투석기
ETC_20150317_000365	Thicket of butterfly	나비 덤불
ETC_20150317_000366	Bramble Bush	가시덤불
ETC_20150317_000367	Sword Pell	검 연습대
ETC_20150317_000368	Bait	미끼
ETC_20150317_000369	Hit object	타격오브젝트
ETC_20150317_000370	Long-sleeved tree	긴팔 나무
ETC_20150317_000371	Shrubs discard the twig is a monster that has been mutated into a form that attacks using the two types.	관목이 잔가지를 버리고  두 개의 가지를 사용하여 공격하는 형태로 변이된 몬스터입니다.
ETC_20150317_000372	Rakter	락터
ETC_20150317_000373	Venucelos	베누켈로스
ETC_20150317_000374	According to one theory, guard dog is what Zasharieru the Great was kept themselves cyan.	일설에 의하면 경비견은 자카리엘 대왕이 손수 시안을 잡아 만든 것이라 합니다.
ETC_20150317_000375	Cemetery Golem	묘지 골렘
ETC_20150317_000376	Kepa Chieftain	케파치프틴
ETC_20150317_000377	Poata	포아타
ETC_20150317_000378	Deadborn	데드본
ETC_20150317_000379	Salamander	샐러맨더
ETC_20150317_000380	Saltistter	살티스터
ETC_20150317_000381	Ginklas	긴클라스
ETC_20150317_000382	Stone Whale	석화고래
ETC_20150317_000383	Tutu	투투
ETC_20150317_000384	Yonazolem	요나졸렘
ETC_20150317_000385	Master Genie	마스터 지니
ETC_20150317_000386	BiteRegina	비테레지나
ETC_20150317_000387	Iltiswort	일티스워트
ETC_20150317_000388	Giant Redwood	자이언트 레드 우드
ETC_20150317_000389	Lepus	레푸스
ETC_20150317_000390	Mushcaria	머슈카리아
ETC_20150317_000391	Chafer	체이퍼
ETC_20150317_000392	Gaigalas	가이갈라스
ETC_20150317_000393	Throneweaver	쓰론위버
ETC_20150317_000394	Bebraspion	베브라스피온
ETC_20150317_000395	Soggy Mushwort	눅눅한 머쉬워트
ETC_20150317_000396	sparnas	스파르나스
ETC_20150317_000397	Mineloader	마인로더
ETC_20150317_000398	Rajatoad	라자토드
ETC_20150317_000399	ShadowGaoler	섀도게일러
ETC_20150317_000400	Helgasercle	헬가세르클
ETC_20150317_000401	Necroventer	네크로벤터
ETC_20150317_000402	Wriggling Lutopus	꿈틀대는 루토푸스
ETC_20150317_000403	Rinkroller	링크롤러
ETC_20150317_000404	Rocktortuga	락토르투가
ETC_20150317_000405	Yekub	예쿱
ETC_20150317_000406	Poisonous RytaSwort	독포자 리타스워트
ETC_20150317_000407	Ravinepede	라바인피드
ETC_20150317_000408	NetherBovine	네더보바인
ETC_20150317_000409	Wild Carnivore	광폭해진 카너버
ETC_20150317_000410	TombLord	툼로드
ETC_20150317_000411	Achat	에하트
ETC_20150317_000412	Shnayim	쉬나임
ETC_20150317_000413	Honeypin	허니핀
ETC_20150317_000414	Rajapearl	라자펄
ETC_20150317_000415	Cyclops	사이클롭스
ETC_20150317_000416	Archon	아콘
ETC_20150317_000417	Carapace	캐러페이스
ETC_20150317_000418	Werewolf	웨어울프
ETC_20150317_000419	Knee	티니
ETC_20150317_000420	Thanks to the cute looks, but a lot of people were Girudo~uruiryo the knee, and that there is no that it was successful.	귀여운 외모 덕에 많은 사람들이 티니를 길들이려 하였으나 성공한 적이 없다고합니다.
ETC_20150317_000421	TreeAmbulo	트리암불로
ETC_20150317_000422	Tree Gang Hyee is different from the prejudice in the monster that was originated in Makai, there is no monster creatures and things have been deformed.	트리암불로는 마계에 기원한 몬스터로 선입견과 달리 생물이나 사물이 변형된 몬스터가 아닙니다.
ETC_20150317_000423	Golemlet	골렘릿
ETC_20150317_000424	Vubbesquior	부베스콰
ETC_20150317_000425	Spion	스피온
ETC_20150317_000426	Please follow the owner if ask well trained. Problem, and its owner, is that usually, that Asmodian.	잘 훈련시키면 주인을 따릅니다. 문제는 그 주인이란 대개 마족이란 점입니다.
ETC_20150317_000427	Mitislampa	미티스램파
ETC_20150317_000428	Speckerl	스페컬
ETC_20150317_000429	skap	스캡
ETC_20150317_000430	Shredded	쉬레디드
ETC_20150317_000431	Shuredi take Asmodian is the monster that was derived from the by-product that came out away when you create a monster into a powerful ghost.	쉬레디드는 마족이 강력한 원혼으로 몬스터를 만들 때 떨어져 나온 부산물에서 기원한 몬스터입니다.
ETC_20150317_000432	Yekubite	에큐바이트
ETC_20150317_000433	I~ekupu is the presence of sieved Akumyonruru in Makai, it was spread in the world to produce a lot of alter ego. Ecu bytes is the name given to such alter ego.	예쿱은 마계에서 악명를 떨친 존재이며 많은 분신을 낳아 세상에 퍼뜨렸습니다. 에큐바이트는 그런 분신들에게 붙여진 이름입니다.
ETC_20150317_000434	Shardstatue	샤드스태튜
ETC_20150317_000435	Asmodian who possessed the goddess image God has left is the monster made of creatures of their own.	신성이 떠난 여신상에 빙의한 마족이 자신만의 피조물로 만든 몬스터입니다.
ETC_20150317_000436	Deadborn Scap	데드본스캡
ETC_20150317_000437	Cire	사이어
ETC_20150317_000438	Precisely not the monster plants is deformed, it is what rotten plants got life, but it is not easy to find the traces.	정확히는 초목이 변형된 몬스터가 아니라 썩어가는 초목이 생명을 얻은 것이라 합니다만, 그 흔적은 찾기 쉽지 않습니다.
ETC_20150317_000439	Lithaspung	리타스펑
ETC_20150317_000440	Teesbang	티스펑
ETC_20150317_000441	mushpung	머쉬펑
ETC_20150317_000442	Tsurikaki	트리굴
ETC_20150317_000443	After changes to the monster, Tsurikaki the leaves no longer become hard wood is to replenish the lost photosynthetic capacity to hunt.	몬스터로 변한 후 목질이 단단해지고 잎이 없어진 트리굴은 없어진 광합성 능력을 사냥으로 보충합니다.
ETC_20150317_000444	Cyst	시스트
ETC_20150317_000445	Ammon	암몬
ETC_20150317_000446	Ammon has been harm a lot of people to monsters that exist from ancient times.	암몬은 고대부터 존재한 몬스터로 많은 사람을 해쳐왔습니다. 
ETC_20150317_000447	Operor	오페러
ETC_20150317_000448	Ofera the monster that has maintained a relatively prototype, now badly that aggression and violence.	오페러는 비교적 원형을 유지하고 있는 몬스터지만, 그 공격성과 사나움은 심해졌습니다.
ETC_20150317_000449	Chafperor	체이퍼러
ETC_20150317_000450	It is a bee and beetle advantage monsters severity of the mutated monster was filling in of. I have a system like suit.	벌과 딱정벌레의 장점에 변이된 몬스터의 사나움이 깃든 몬스터입니다. 벌처럼 체계를 지닙니다.
ETC_20150317_000451	RavineLerva	러바인러바
ETC_20150317_000452	Plant deformation and the point is there was speculation that it is the larvae of some of the monsters before become apparent.	식물변형이란 점이 밝혀지기 전에는 어떤 몬스터의 유충이 아닌가 추측이 있었습니다.
ETC_20150317_000453	Nethercaffe	네더카프
ETC_20150317_000454	Infrogalas	인프로갈라스
ETC_20150317_000455	Carneybeopeong	카니버펑
ETC_20150317_000456	Vespa	베스퍼
ETC_20150317_000457	Animals that lived in the king tomb is, it is a monster that has been deformed in recent years by the influence of the Magi.	왕릉에 서식하던 동물이 근래에 마기의 영향을 받아 변형된 몬스터입니다.
ETC_20150317_000458	Crow	카라스
ETC_20150317_000459	Strictly speaking, it is a creature of magic whose name wishes of golem of a kind and creator was filling.	엄밀히는 골렘의 일종이나 만든이의 염원이 담긴 이름을 지닌 마법피조물입니다.
ETC_20150317_000460	Echad	에하드
ETC_20150317_000461	Is a creature of magic that was created to protect the king tomb, about, however, it is the stronger the Asmodian also been rice goddess of power.	왕릉을 수호하기 위해 만들어진 마법피조물이며 약하지만 여신의 힘도 깃들어 마족에게 강한 편입니다.
ETC_20150317_000462	Shtayim	쉬타임
ETC_20150317_000463	Unlike appearance, creatures of this magic has been put blessing of goddess, can be fatal to Asmodian.	외양과 달리 이 마법피조물에는 여신의 축복이 깃들어 있어 마족에게 치명적일 수 있습니다.
ETC_20150317_000464	Tombsinker	툼싱커
ETC_20150317_000465	Those that have been placed in the king tomb, including the Tomb sinker, it has been made to the river especially Asmodian of intrusion.	툼싱커를 비롯한 왕릉에 배치된 것들은 특별히 마족의 침입에 강하도록 만들어졌습니다.
ETC_20150317_000466	Graztaz	그라즈타스
ETC_20150317_000467	Abogust	어보거스트
ETC_20150317_000468	Weaver	위버
ETC_20150317_000469	Weaver is a thread made of stone there is a real thing rumors of pine.	위버가 돌로 된 실을 잣는다는 소문이 있습니다.
ETC_20150317_000470	Hallowventer	할로우벤터
ETC_20150317_000471	Please do not look directly into the deep space of part of their heads.	그들 머리 부분의 깊은 공허를 직시하지 마십시오.
ETC_20150317_000472	Meleech	멜리치
ETC_20150317_000473	Firm, is toxic, there are still blood-sucking instinct than anything else.	단단하고 독성이 있으며 무엇보다 흡혈 본능이 남아 있습니다.
ETC_20150317_000474	Infro Salamander	인프로 샐러맨더
ETC_20150317_000475	Zolrem	졸렘
ETC_20150317_000476	Joruremu the difference between general golem is not a magic, is that you move by other aura.	졸렘이 일반 골렘과 다른 차이점은 마법이 아닌 다른 기운에 의해 움직인다는 점입니다.  
ETC_20150317_000477	Kepareda	케파레이더
ETC_20150317_000478	Kepa was with a name is associative, but it is a monster that the authoritatively and Makai and origin.	케파가 연상되어 명칭이 붙었지만, 엄연히 마계를 기원으로 하는 몬스터입니다.
ETC_20150317_000479	Mushcarfung	머슈카펑
ETC_20150317_000480	Woodgoblin	우드고블린
ETC_20150317_000481	An evil embellish summoned by the Vubbes. Sometimes appear even in areas where Vubbes do not show up.	부베가 마족의 사주를 받아 불러낸 마물의 일종입니다. 경로는 모르지만 부베가 활동하지 않는 지역에서도 나타나곤 합니다.
ETC_20150317_000482	Red Wood Goblin	붉은 우드고블린
ETC_20150317_000483	Templeslave	템플슬레이브
ETC_20150317_000484	Ringring	링링
ETC_20150317_000485	Woodin	우딘
ETC_20150317_000486	Stone Orca	스톤오르카
ETC_20150317_000487	and a particular form of the mutant monster called dolphin, it is one of the few features monster of indicating the appropriate characteristics to it. It corresponds to the small size of Stone Whale.	변이형 몬스터가 돌고래라는 특정한 형태를 갖춰 그에 맞는 특성을 보이는 흔치 않은 특징의 몬스터입니다. 석화고래의 소형에 해당합니다.
ETC_20150317_000488	Rajapearlite	라자펄라이트
ETC_20150317_000489	Drape	드레이프
ETC_20150317_000490	It has been a client and type for sharp tail, but looks to the deformation of the pumpkin mineral origin monster.	날카로운 꼬리 때문에 클라이라 종류로 여겨졌지만 호박성 광물을 기원으로 변형된 몬스터로 보입니다.
ETC_20150317_000491	Infroholder	인프로홀더
ETC_20150317_000492	Although there from many subspecies and Asmodian is become frequent appearance occurs, is one holder also of such monsters in infrastructure.	마족이 출현이 빈번해지자 그로부터 많은 변종이 생겼는데, 인프로홀더 역시 그런 몬스터의 하나입니다.
ETC_20150317_000493	Repsubunny	레푸스버니
ETC_20150317_000494	In the past it was human to familiar animals, but now is a dangerous creature than the bear.	한때는 인간에게 친숙한 동물이었지만, 지금은 곰보다 위험한 생물입니다.
ETC_20150317_000495	Nuwort	누워트
ETC_20150317_000496	Beadbird	청옥조
ETC_20150317_000497	Minos	미노스
ETC_20150317_000498	Amorites	아모리
ETC_20150317_000499	Amorites is the Durahan with what armor is stained aura of evil there is a difference.	아모리는 갑옷이 악한 기운에 물든 것으로 듀라한과는 차이가 있습니다.
ETC_20150317_000500	Mine Lever	마인레버
ETC_20150317_000501	ShadowGaoler_summon	섀도게일러_소환물
ETC_20150317_000502	Hound	하운드
ETC_20150317_000503	You should be an alternative with it like tail?	대체 저것을 등에 달린 꼬리라고 해야 할까요?
ETC_20150317_000504	Stoulet	스타울리트
ETC_20150317_000505	As Asmodian There are features that respect the strong man. The cruel and the strong to the weak, if more aggressive attack, ultimately there is no big difference.	마족치고는 강자를 존경하는 특징이 있습니다. 약자에겐 잔혹하고 강자에겐 더 적극적으로 공격하니 결국 별 차이는 없습니다.
ETC_20150317_000506	Rajatadpole	라자태드폴
ETC_20150317_000507	Tentacles	촉수
ETC_20150317_000508	InfroBurk	인프로버크
ETC_20150317_000509	Burke is you do not know what kind of monster of small infrastructure. and certain of is that you Sanapuda.	인프로버크가 어떤 몬스터의 소형인지 확실하지 않습니다. 확실한 점은 사납다는 것입니다.
ETC_20150317_000510	Mandara soldier	만다라병사
ETC_20150317_000511	NightMaiden	밤의시녀
ETC_20150317_000512	Worg	워그
ETC_20150317_000513	Saltisdaughter	살티스도터
ETC_20150317_000514	Prisonfighter	뇌옥투사
ETC_20150317_000515	When bored, it is people who also killed soldiers of the same Asmodian.	심심하면 같은 마족 병사도 살해하는 자들입니다.
ETC_20150317_000516	Greentoshell	틈게
ETC_20150317_000517	Sparnicht	스파니히트
ETC_20150317_000518	Infrorocktor	인프로락터
ETC_20150317_000519	Turtle and minerals is the small class of change bound monster. The Zu ties cognate even have gathered, you can own activities.	거북과 광물이 변이결합한 몬스터의 작은 종류입니다. 모여있어도 동족간의 유대없이 독자적으로 활동합니다.
