QUEST_20150317_000001	Pilih Quest yang akan dimodifikasi.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150317_000162	I leave this epitaph.{nl}I will take my pride as the greatest thief and I will challenge to the strongest magician.	나 즈벡은 이 비문을 남긴다.{nl}최고의 도둑이라는 자부심을 걸고 역사상 가장 강력하다는 마법사에게 도전할 것이다.
QUEST_20150317_000163	Can I say that I was successful by just stealing?{nl}I guess I can say I was successful by stealing against the greatest magician.{nl}	하지만 이 내가 도둑질만 한다고 해서 성공이라 할 수 있을까?{nl}물론 위대한 대마법사를 상대로 그 정돈 훌륭한 성공이랄수도 있겠지.{nl}
QUEST_20150317_000164	But, I am not.{nl}I want to be the greatest thief of all time, not just the greatest thief of the time.	하지만 나는 아니다. {nl}나는 당대 최고가 아니라 역사 제일의 도둑이고자 한다.{nl}
QUEST_20150317_000165	Finally, I found a way to enter Magicians' Tower.{nl}That is to concentrate all the magical power to a specific place.{nl}Now, I just need to take a decisive step.	드디어 마법사의 탑으로 들어갈 방법을 찾았다.{nl}그건 특정 장소에 마력을 응집하는 것.{nl}이제는 결행만이 남았다.
QUEST_20150317_000166	Soon, my special device will be activated.{nl}If you do what I do, you will also be able to enter Magicians' Tower.{nl}	이제 곧 나의 특제 장치가 작동할 것이다.{nl}날 따라 한다면 그대도 마법사의 탑으로 들어갈 수는 있겠지.{nl}
QUEST_20150317_000167	Of course, after that, you should deal with dumb magicians. Haha!	물론 그 후에 멍청한 마법사들 같은 건 알아서 해야 할 것이다. 하하!
QUEST_20150317_000168	Gravestone of Precepts	교훈의 비석
QUEST_20150317_000169	I killed the thiefs in flame who penetrated into others' tower and stole others' belongings.{nl}But, I am leaving his gravestone to warn infiltrators.{nl} -Agailla Flurry-	남의 탑을 침입하고 남의 물건을 손댄 어리석은 도적을 불태워 죽였다.{nl}허나 그의 비석은 침입자에 대한 경고로써 남겨두는 바이다. {nl} -아가일라 플러리-
QUEST_20150317_000170	The King of Demons Gesti	마왕 제스티
QUEST_20150317_000171	How dare you as a human.. {nl}	인간 주제에 감히 내게.. {nl}
QUEST_20150317_000172	Wait and see. It's not over yet.{nl}Pray Laima will save the world.	두고 보아라. 아직 끝나지 않았으니까.{nl}라이마가 이 세계를 구하길 마음껏 빌어 보거라.
QUEST_20150317_000173	Klaipeda officer	클라페다 안내병
QUEST_20150317_000174	Selamat Datang. Uska telah menunggu di Klaipeda middle square.{nl}Adakah sesuatu yang tidak kamu mengerti?	어서 오시죠. 우스카님이 클라페다 중앙 광장에서 기다리고 계십니다.{nl}참, 미처 숙지하지 못한 사항이 있으십니까?
QUEST_20150317_000175	Apa kamu ingin segera ke Klaipeda sekarang juga? {Nl} Pikirkan baik-baik.	클라페다 입구로 바로 이동하고 싶은 건가?{nl}잘 생각해 보게.
QUEST_20150317_000176	Temporary Operator	임시운영자
QUEST_20150317_000177	Please change this characters status.	이 캐릭터의 상태값을 바꿔주세요
QUEST_20150317_000178	NPC HIDE/UNHIDE Setting!	NPC HIDE/UNHIDE설정!
QUEST_20150317_000179	Follower Algis	추종자 알기스
QUEST_20150317_000180	The time has come which the Goddess forecasted to the first Paladin.{nl}Okay, ask me anything.	여신께서 초대 팔라딘에게 예견하신 순간이 찾아왔군.{nl}자, 뭐든 물어 보려므나.
QUEST_20150317_000181	Long time ago, there were nomads, inflicted with the curse of the plague, roaming around.{nl}The first Paladin cured their curse with the Divine Water.	아주 먼 옛날에 역병의 저주를 받은 유목민이 떠돌고 있었단다.{nl}초대 팔라딘님께서 그들의 저주를 치유의 성물로 끊어 주셨어.{nl}
QUEST_20150317_000182	Scouts are the descendents of the nomads.{nl}But, the original purpose of the Divine Water is not to cure those people.	파수꾼들이 바로 그 유목민들의 후예이지.{nl}하지만 성물의 본래 목적은 치유가 아니야.{nl}{nl}
QUEST_20150317_000183	One day, the Goddess requested the revelation to the first Paladin.{nl}As she was thinking how to keep this secret, the cursed nomads appeared.{nl}	어느 날, 여신께선 초대 팔라딘에게 계시를 부탁하셨지.{nl}이걸 어떻게 감출까 고민하던 차에 나타난 게 저주받은 유목민이였어.{nl}
QUEST_20150317_000184	The first Paladin promised three pledges to stop the curse.{nl}	초대 팔라딘님께선 저주를 끊어 주는 조건으로 세 가지 맹약을 내거셨지.{nl}
QUEST_20150317_000185	To build Tenet Cathedral together. {nl}To hide Divine water on this land and enshrine it.{nl}To fight together when there a crisis on this land.{nl}	테넷 성당을 함께 지을 것. {nl}치유의 성물을 이 땅에 감춰 두고 성스럽게 모실 것.{nl}이 땅에 위험이 닥칠 때 함께 힘을 모아 싸울 것.{nl}
QUEST_20150317_000186	This is to protect the revelation that is hidden in Tenet Cathedral Shrine.	이게 다 테넷 성당의 성소에 감춰져 있는 계시를 지키기 위한 거란다.
QUEST_20150317_000187	Divine water was created to protect the revelation.{nl}It is created to lure the King of Demons and destroy it.{nl}	치유의 성물은 본디 계시를 지키려고 만들어진 거란다.{nl}이걸로 마왕을 유인해서 해치우는 것이지.{nl}
QUEST_20150317_000188	There are always what ifs.{nl}If this strategy fails, then it is very likely that the final battle will take place in Tenet Cathedral.	하지만 모든 건 만약이라는 게 있기 마련이거든.{nl}이 작전이 실패한다면 최후의 결전이 벌어질 장소는 아마 테넷 성당이 될 게야.
QUEST_20150317_000189	Pawndel	폰델
QUEST_20150317_000190	What is it?	무슨 일인데?
QUEST_20150317_000191	Really?	정말?
QUEST_20150317_000192	Pond	폰드
QUEST_20150317_000193	What happened?	무슨 일이야?
QUEST_20150317_000194	Gesti tole us to protect this place..	제스티님이 여기 지키라고 하셨어..
QUEST_20150317_000195	So what do we do now?	이제 뭘 해야하지?
QUEST_20150317_000196	This is the right place?	여기가 맞아?
QUEST_20150317_000197	Explaining	설명 중
QUEST_20150317_000198	I told the part of the revelation that I obtained in Crystal Mine.	수정광산에서 얻은 계시의 내용의 일부를 알려주었다
QUEST_20150317_000199	I don't know how great you were in the past {Nl}but in here, you have to follow the rule of the kingdom. {Nl}Same goes for Kalis Knights. We are the law in here	당신의 과거행적이 얼마나 빛나는지 모르겠습니다만 여기선 왕국군의 통제를 따라 주셔야합니다.{nl}칼리스 기사단도 마찬가지 입니다. 여기선 왕령에 따라 우리가 곧 법입니다.
QUEST_20150317_000200	Grave Thief Juvertas	도굴꾼 후베르타스
QUEST_20150317_000201	I feel like I am going crazy afer staying in this devastated land for several days.{nl}When would he come here anyways!	이런 황폐한 곳에서 며칠씩 기다리고 있으려니 내가 미쳐가는 게 느껴져.{nl}형님은 대체 왜 안 오시는 거야!
QUEST_20150317_000202	Thief Benjaminas	도굴꾼 벤자미나스
QUEST_20150317_000203	We want to call ourself archeologists, but eveyone calls us thieves.{nl}Utilizing objects that do not belong to anybody is a meaningful task.{nl}It's way better than just leave them here and wait them to be rotten.	우린 스스로를 고고학자라고 부르고 싶어하지만 다들 도굴꾼이라고 하지요.{nl}주인없는 물건들이 제가치를 찾을 수 있는 곳으로 옮겨주는 일은 어쩔땐 여신을 대변하기까지 합니다.{nl}누구에게나 여기 이렇게 굳어서 풍화되어 사라져가는 것보단 훨씬 나을 거에요.
QUEST_20150317_000204	A diary of a citizen.	어느 시민의 일기
QUEST_20150317_000205	1 year have passed after the civil war. Prices have increased a lot in the city. The general Ruklys want to supplement the supplies, but there's a rumor that King Kadumel is going after the general Ruklys.	내전이 발발한 지 1년이란 시간이 지났다. 도시의 물가가 무척 올랐다. 루클리스 장군께서는 병참물자를 내놓아 부족한 도시의 물자를 보충한다고 한다. 그러나 모처럼 좋은 소식에도 카듀멜 국왕이 루클리스 장군을 노리고 친정을 하려 한다는 소문이 돌아서 사람들의 분위기는 그다지 좋지 않다.
QUEST_20150317_000206	A diary of a sentinel	어느 파수병의 일지
QUEST_20150317_000207	The guards at the post have been reinforced after King Kadumel decides to take care of the country himself. It is true that the incompetent King Kadumel brought a lot of soldiers, but if the general Hayatin comes here with volunteers, then King Kadumel will either surrender or flee.	카듀멜 국왕이 친정하면서 전황이 급박해져 초소의 경비가 더 강화되었다. 무능한 카듀멜이 많은 병력을 이끌고 온 것은 사실이지만. 하야틴 장군께서 지원병을 이끌고 오신다면 카듀멜은 항복하거나 도망치게 될 것이다.
QUEST_20150317_000208	A diary of a merchant	어느 상인의 일기
QUEST_20150317_000209	Food and supplies are running out at the city. (The rest of it is unreadable)	도시에 식량과 물자가 바닥나고 있다. (이하는 판독불능)
QUEST_20150317_000210	There's a rumor that general Ruklys is negotiating with King Kadumel for citizen's security.	시민들이 겪는 고난이 심하다는 보고를 듣고 루클리스 장군께서 시민의 안전을 조건으로 카듀멜과 협상을 한다는 소문이 들린다. 
QUEST_20150317_000211	A record of an officer	어느 장교의 기록
QUEST_20150317_000212	I heard that Premier Eminent is in negotiation with general Ruklys. We may have to move to the Fortress of Great Land and the city may be taken by kingdom soliders. It may be a good news if we think about our citizens. The Fortress of Great Land is not that weak to be occupied by enemies.	재상인 프리미어 에미넌트가 루클리스 장군과 협상에 응했다고 한다. 협상에 따라 우리는 대지의 요새로 전부 이동하고 도시는 왕실군에게 내어줄 것이란 말이 들린다. 시민들을 생각하면 어쩌면 잘 된 일일 수도 있다. 도시는 양보했지만, 대지의 요새는 적에게 간단히 내줄 만큼 약한 곳이 아니다.
QUEST_20150317_000213	King Kadumel is keep saying to persecute the citizens. Premier Eminent is trying his best to avoid that and secure the city's safeness. The kingdom military is not showing any threatening movements yet.	카듀멜 국왕이 도시민들을 처벌하라고 고집을 부린다고 한다. 재상인 에미넌트가 그것을 간신히 말리고 루클리스 장군과 협상한 내용대로 도시의 안전을 보장하느라 애쓰고 있다고 한다. 도시를 점령한 왕실군대도 일단은 크게 위협적인 행동을 하지는 않고 있다.
QUEST_20150317_000214	We have to be here until Costas comes.{nl}There are lot of things to do, so I hope he comes here soon.	코스타스님이 오실 때까지 여기 이러고 있어야 합니다. {nl}안 그래도 할일이 많은데 빨리 좀 돌아오시면 좋겠어요.
QUEST_20150317_000215	Cryomancer Costas	크리오맨서 코스타스
QUEST_20150317_000216	If we can find the Symbol of Silk, then everything will be okay.{nl}We can revive the city.	실크의 징표만 다시 되찾는다면 모든 걸 해결할 수 있네.{nl}도시를 되돌릴 수 있다는 말이지.
QUEST_20150317_000217	Ghouls Lou breakthrough scan	도굴꾼 루돌파스
QUEST_20150317_000218	The kingdom soldiers and Caliss Knitage, I think we, thieves are balancing them.{nl}That's why people can at least walk around..Before that, this place was not a place to stay.	왕국군과 칼리스 기사단, 우리 도굴꾼들이 절묘한 균형을 이룬다고 생각해{nl}그나마 사람들이 돌아다닐 수 있는 거지.. 그 전엔 잠시도 있을 곳이 못 됐지.
QUEST_20150317_000219	A record of kingdom officer	왕국군 장교의 기록
QUEST_20150317_000220	There is no progress after Ruklys and his people moved to the Fortress of Great Land. The clerics who are infleunced by Maven are pessimistic in participating the war. The King is trying to hire Magicians by paying them a lot, but we expect little to no progress at all even after their participation.	루클리스 일당이 대지의 요새로 후퇴한 후로 더 이상의 진전이 없는 상황이다. 메이번의 입김을 받은 성직자들이 참전에 소극적이자 국왕께서는 마법사들을 거액을 들여 고용하여 전세를 바꾸려 노력중이나 그들의 참전에도 별다른 진전은 없을 것이란 예감이 든다.
QUEST_20150317_000221	A record of a citizen	도시 주민의 기록
QUEST_20150317_000222	How could this happen! Lydia Schaffen is going to help Kadumel soldiers.	어떻게 이럴 수가! 리디아 샤펜이 카듀멜 군을 돕고 나섰다고 한다.
QUEST_20150317_000223	A record of an executive at Kingdom Military	왕국군 행정관의 기록
QUEST_20150317_000224	Lydia Schaffen, the person that I only heard in rumors, came to the city with her followers. The officers and soldiers expect that she will change the circumstances in the battle. His majesty ordered us to support her at our best.	소문으로만 듣던 리디아 샤펜이 그녀의 추종자들을 끌고 도시에 들어왔다. 장교들과 병사들은 그녀의 참전이 고착된 전세를 바꿔줄 것이라 큰 기대를 하고 있다. 국왕 폐하께서도 그녀의 접대에 소흘함이 없도록 하라는 칙령을 수차례 내리셨다.
QUEST_20150317_000225	A record of a citizen	시민의 기록
QUEST_20150317_000226	The Fortress of Great Land has fallen down! Now everythign is over..	대지의 요새가 함락 되다니! 이제 끝났어..
QUEST_20150317_000227	General Ruklys is dead and the Fortress of Great Land collapsed. Some people say he died due to Lydia Schaffen's arrow, and others say that he died due to the magic used by royal magicians. It is indeed a sad news.	대지의 요새가 함락되고 루클리스 장군께서 전사하셨다고 한다. 리디아 샤펜의 화살에 죽었다고도 하고, 왕실 마법사의 마법에 당했다고도 하고 소문이 여러 가지라 정확한 사실은 모르지만, 돌아가신 것은 확실한 모양이다. 하늘이 무너진 듯하다.
